Sample.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
d1-19-2-350	4	29	832	62732.73567	3093	2757	0.891368	1696887	5247939.5	0.323343	1392860	66.59304	31.048349	630.634583	58336.38553	720714310.2	13535847.91	216	1972.319444	0.837	47.837104	0.263434	0.369236	0.36733	201.793939	1756.055049	60774.88668	398.759451	6821.443488	4301287.646	1252.739763	21447.96828	13513147.2	626.369881	21418.54614	720692265.3
d2-12-2-166	7	18	361	24504.13021	881	1856	2.106697	569596	1246328	0.457019	569596	47.168393	32.55764	376.876648	22947.3624	96508206.97	3684510.281	82	2248.707317	0.296	42.051862	0.368976	0.357597	0.273427	85.59798	578.215295	23840.31694	168.367532	2226.37538	1170421.305	528.942203	6994.364538	3676986.974	264.471101	6909.504915	96501032.99
d2-12-2-175	9	37	1356	126191.0916	2810	3240	1.153025	3107081	6641881	0.467801	2738571	61.19883	35.44009	605.104919	90991.35918	1003868852	24966429.27	636	898.773585	1.069	46.324291	0.296343	0.361115	0.342542	373.261977	2939.184125	122878.6455	746.523953	11365.41159	7934770.678	2345.274168	35705.49354	24928378.5	1172.637084	35409.60369	1003832270
d2-12-2-176	7	26	1440	90157.27296	3390	3426	1.010619	1998161	7357425	0.271584	1888954	51.068052	31.112698	551.089844	78113.17448	554802341.3	14943335.3	353	2209.679887	1.11	45.711354	0.317386	0.335373	0.347241	481.031529	3464.700936	86211.54049	962.063059	13411.97603	4741816.648	3022.410237	42163.06462	14898149.83	1511.205119	41916.46164	554758913.6
d2-12-2-178	11	39	2093	190099.8955	3648	4085	1.119792	4882190	10339676	0.47218	4530347	63.971384	35.383614	686.769226	141909.5898	1709404191	39159654.09	914	1596.212254	1.671	45.836376	0.31217	0.336151	0.351679	845.820418	4892.949853	184361.1253	1683.155554	18836.1615	12443909.14	5287.789125	59226.58123	39095139.72	2643.894562	58621.66761	1709342925
d2-12-2-200	5	27	1078	60634.06172	2463	1724	0.699959	1061773	2973049.5	0.357133	1061773	35.277419	24.413111	321.123016	54364.6447	120287986.1	6857754.781	321	823.841121	0.575	46.845602	0.31106	0.313947	0.374993	361.605122	2250.270345	58022.18625	709.553391	8653.39725	2173357.924	2229.127719	27185.44923	6828340.204	1114.56386	26882.93426	120259988.6
d2-13-2-211	6	20	569	25896.98043	1317	2193	1.665148	452620	1672242	0.270667	436518	33.678809	23.323807	304.217041	26878.6007	54104098.97	2799215.633	76	1982.697368	0.371	46.195936	0.262823	0.419969	0.317208	150.024387	945.962554	24800.99349	300.048773	3646.822361	887038.5807	942.631022	11456.83034	2786816.171	471.315511	11348.00191	54092279.66
d2-13-2-214	7	33	1194	94018.83457	2122	3458	1.629595	2570987	5221234.5	0.49241	2396551	77.552369	36	712.699097	69481.33855	1336333584	23350451.47	385	1292.174026	0.88	44.564999	0.316459	0.375652	0.307889	443.972655	2436.696752	91138.16516	881.116882	9476.318006	7422260.14	2768.110325	29770.73103	23317912.63	1384.055162	29692.04786	1336302508
d2-13-2-216	9	29	1452	107221.7662	3133	3195	1.019789	2427781	6638267.5	0.365725	2217589	56.909069	29.529646	630.897766	91787.15643	898925244.2	19674059.18	489	1169.660532	1.047	45.333332	0.305492	0.364051	0.330456	592.955411	3340.19841	103288.6123	1185.910822	12852.57224	6247877.813	3725.648725	40377.54651	19629955.98	1862.824363	39943.8413	898883437.5
d2-13-2-218	3	25	1089	64088.79924	3648	1824	0.5	1144122	4472769	0.255797	1144122	36.937955	26	443.589905	61230.2838	168318821.3	7569471.75	278	992.730216	0.738	47.847572	0.283972	0.323673	0.392355	465.445743	2622.750576	61000.60292	922.406204	10018.53118	2398036.374	2897.824555	31474.14397	7535099.782	1448.912278	30947.29111	168286425
d2-13-2-219	6	25	1213	64465.73444	3015	2843	0.942952	1152112	5864527	0.196454	1152112	33.693421	26	347.26358	70324.58083	129511250.4	6902328.302	222	2589.630631	0.89	48.139045	0.271677	0.335294	0.393029	407.031529	2683.745525	61374.95739	807.234631	10387.42704	2185741.233	2536.002388	32633.06447	6867159.235	1268.001194	32422.85144	129477559.6
d2-18-2-325	2	30	1147	85281.79323	3405	2623	0.770338	2163171	5557156.5	0.389259	2163171	64.842751	31.304953	766.874146	77236.46207	1032172581	17697587.48	297	1867.585859	0.943	45.923489	0.298907	0.350115	0.350978	375.261977	2468.532322	82437.99893	750.523953	9511.907274	5622970.462	2357.840538	29914.35918	17665315.28	1178.920269	29685.2005	1032141717
d2-18-2-335	5	19	1185	69749.49166	3648	2978	0.816338	1373256	6740670	0.203727	1328495	36.423483	28.071337	383.019592	70332.99	152220303.5	8088241.785	241	3007.896266	0.95	47.71963	0.272663	0.351385	0.375952	266.350288	2021.523087	67461.61828	532.700577	7804.06538	2566008.565	1673.528219	24531.2441	8062037.013	836.764109	24340.77289	152195126
d2-18-2-337	4	18	601	42351.21772	2344	2129	0.908276	981115	3162987	0.310186	846612	52.926976	28	382.753174	40608.93814	244724376.7	7206941.295	133	1144.781955	0.523	47.217832	0.292038	0.346479	0.361483	176.710678	1783.954544	40390.5525	353.421356	7084.370935	2286592.074	1110.305936	22270.25732	7183560.732	555.152968	22637.5066	244701184
d2-18-2-338	5	27	974	80181.07505	2644	3044	1.151286	2280678	5783362	0.394352	2078642	72.246548	36.055511	594.084167	67682.78531	989926799.8	18818159.58	256	1844.0625	0.87	47.348328	0.271943	0.372892	0.355164	326.249783	2104.464212	77750.36106	652.499567	8120.458104	5981082.332	2049.887845	25539.27078	18790570.42	1024.943923	25304.72525	989900470.1
d2-18-2-340	5	17	1277	56910.04672	3648	3700	1.014254	935774	6726566	0.139116	935388	29.966434	24.331051	336.689758	60954.14289	84390613.31	5458943.531	166	1740.873494	1.055	44.429894	0.351632	0.303294	0.345074	446.546248	2487.60844	53975.89203	881.435642	9587.598482	1726902.072	2769.111736	30120.32896	5426054.091	1384.555868	29843.45992	84359385.29
d2-19-2-351	8	31	1046	105739.2706	3117	3249	1.042348	3537911	7353999	0.481087	2765993	86.002585	39.293766	940.136169	86370.69583	2184753254	29396012.69	398	1426.251256	1.123	46.863123	0.30335	0.313531	0.383119	306.663997	2069.434775	103363.1718	602.014285	8068.025026	9348095.329	1891.283656	25355.33392	29368766.08	945.641828	25359.4561	2184726949
d2-19-2-354	9	21	924	48910.52536	1968	2257	1.14685	825289	3289560	0.250881	825289	34.603872	22.090721	429.161987	51883.55516	132931885.9	5412808.205	185	2280.405405	0.498	46.369124	0.302182	0.336323	0.361495	303.936075	2385.265294	46221.324	607.87215	9362.967099	1712776.782	1909.68668	29414.62866	5381483.889	954.84334	29551.61416	132901379.5
d2-19-2-355	5	17	481	32942.55719	1786	2607	1.459686	731086	2804633	0.260671	675031	48.876195	25.612497	368.911926	33183.93901	160799975.6	5115321.987	111	1237.324324	0.508	42.5854	0.325377	0.416632	0.257991	174.610173	1091.38391	31676.56311	349.220346	4184.950507	1623717.064	1097.108074	13147.40977	5101077.469	548.554037	12951.79017	160786475.2
d2-19-2-357	7	20	1306	75274.7993	3090	2368	0.766343	1598279	5545366.5	0.288219	1388576	49.694008	28.284271	555.009888	67538.63848	498488334.1	12204106.36	306	1042.496732	0.798	45.411919	0.30164	0.360189	0.338171	513.27417	3509.477631	71252.0475	1026.54834	13636.39412	3869911.583	3224.996723	42854.04522	12158027.32	1612.498362	42710.2646	498444011.4
d2-19-2-360	4	17	533	35014.03778	2545	2881	1.132024	869168	3521945.5	0.246786	650875	63.471931	27.202942	563.169617	36385.80473	364421333.3	6923750.382	74	915.932432	0.663	43.709695	0.280511	0.463512	0.255977	184.994949	1159.094588	33669.94824	369.989899	4509.715136	2198904.211	1162.357548	14167.68794	6908420.336	581.178774	14134.82175	364406617.3
