Sample.Name	Median.Number.of.Roots	Maximum.Number.of.Roots	Number.of.Root.Tips	Total.Root.Length.px	Depth.px	Maximum.Width.px	Width-to-Depth.Ratio	Network.Area.px2	Convex.Area.px2	Solidity	Lower.Root.Area.px2	Average.Diameter.px	Median.Diameter.px	Maximum.Diameter.px	Perimeter.px	Volume.px3	Surface.Area.px2	Holes	Average.Hole.Size.px2	Computation.Time.s	Average.Root.Orientation.deg	Shallow.Angle.Frequency	Medium.Angle.Frequency	Steep.Angle.Frequency	Root.Length.Diameter.Range.1.px	Root.Length.Diameter.Range.2.px	Root.Length.Diameter.Range.3.px	Projected.Area.Diameter.Range.1.px2	Projected.Area.Diameter.Range.2.px2	Projected.Area.Diameter.Range.3.px2	Surface.Area.Diameter.Range.1.px2	Surface.Area.Diameter.Range.2.px2	Surface.Area.Diameter.Range.3.px2	Volume.Diameter.Range.1.px3	Volume.Diameter.Range.2.px3	Volume.Diameter.Range.3.px3
w1-8-2-123	17	42	2945	201377.5394	3648	4743	1.300164	5268396	12363325	0.426131	4787539	66.313101	38.832977	792.615906	160414.4145	2232670311	43790590.83	576	3589.420139	1.926	44.17887	0.319501	0.35583	0.324669	802.595021	5487.898121	195087.0463	1593.876334	21075.95804	13915459.42	5016.195947	66240.17421	43719334.46	2508.097973	65412.56357	2232602390
w1-8-2-125	9	36	2189	158182.9914	3591	3328	0.926761	4697697	8684032	0.540958	3894109	81.303593	38.418747	981.305237	112115.6924	2821024798	41584696.12	560	998.082143	1.481	44.886567	0.323787	0.327771	0.348442	989.305699	5386.234124	151807.4516	1971.782971	20817.93913	13213185.23	6194.538897	65415.53426	41513086.05	3097.269449	64872.84385	2820956828
w1-8-2-126	12	39	2850	172854.3515	3648	4493	1.231634	4038687	10290753	0.392458	3617167	58.400301	34.176014	748.438354	140558.7417	1518090895	32600051.81	552	2649.891304	1.807	43.081009	0.352345	0.326341	0.321314	1141.543289	6284.3632	165428.445	2280.258152	24330.45165	10349403.67	7163.642257	76436.36815	32516451.8	3581.821129	75921.27543	1518011392
w1-8-2-127	13	44	2746	181330.3665	3648	4174	1.144189	5056907	10237521	0.493958	4374689	72.403259	39.698868	856.420471	134407.0548	2618705667	43081362.16	558	1913.453405	1.729	43.368703	0.347895	0.325161	0.326945	924.577777	5898.449419	174507.3393	1849.155554	22716.87159	13688166.78	5809.293505	71381.20654	43004171.66	2904.646753	70673.03497	2618632089
w1-8-2-129	8	27	1625	116709.9113	3342	2721	0.814183	3499993	7050337.5	0.496429	2780945	78.743928	42	915.370972	86793.86741	2097426225	29750267.29	390	2960.128205	1.062	42.789406	0.359786	0.309055	0.33116	501.730014	3482.458295	112725.7229	1000.631601	13402.57765	9454871.495	3143.576887	42119.48913	29705004.23	1571.788443	41648.64151	2097383005
w1-9-2-141	15	47	2559	188769.7948	3648	4214	1.155154	5296180	10682674	0.495773	4437185	74.683708	37.363083	1008.432434	156899.3752	3263633581	46424895.75	531	2667.734463	1.837	45.355646	0.320316	0.304426	0.375258	1115.34733	6518.152088	181136.2954	2225.866233	25223.21489	14749358.91	7001.65077	79241.06659	46338653.04	3500.825385	78768.58615	3263551312
w1-9-2-142	12	35	2382	181072.7005	3648	3428	0.939693	5531091	10387501	0.532476	4211253	80.214439	37.94733	1042.957275	138075.8749	3694255582	47506668.83	650	1765.049231	1.597	43.09031	0.369328	0.285485	0.345187	791.766594	5206.185351	175074.7486	1580.704761	20064.46882	15099796.54	4965.930464	63034.38783	47438668.51	2482.965232	62407.90514	3694190691
w1-9-2-146	10	31	1635	159450.2485	3500	3345	0.955714	5670620	8827652.5	0.64237	4676248	96.864497	52.611786	1048.627686	100394.8852	3827156801	50089448.68	529	1240.476371	1.526	42.576146	0.36542	0.306441	0.32814	563.801082	3350.622725	155535.8246	1127.602164	12891.63628	15929569.45	3542.466674	40500.26983	50045405.94	1771.233337	40056.02585	3827114974
w1-9-2-148	12	42	2371	175513.2969	3648	3440	0.942982	5341677	9515386.5	0.561373	4583522	78.089208	42	928.021545	129692.0638	2985369019	44803140.16	557	1734.766607	1.462	42.890844	0.364436	0.299182	0.336382	1030.619408	5249.594514	169233.083	2049.581961	20175.87149	14238862.06	6438.951633	63384.36966	44733316.84	3219.475816	62593.67388	2985303206
w1-9-2-149	10	26	1720	134780.1869	3648	3046	0.834978	4383650	8624269.5	0.508292	3438978	84.628376	45.122055	987.564697	99339.5713	2522442260	37141498.55	351	1824.649573	1.362	43.713043	0.355896	0.279187	0.364916	581.156421	3330.184125	130868.8463	1162.312842	12787.9714	11808089.22	3651.513485	40174.59702	37097672.44	1825.756743	39697.3004	2522400737
